arm,group,fold,seed,split_seed,inner_fold,val_positive_events,val_pr_auc,val_ece,val_brier,n_features,n_nan_cells,feat_seconds,missing_policy,slope_time
C2_scale_full_half,scales,1,42,42,1,3,0.7723060570456696,0.048065214556804195,0.04691184222442954,65,921108,2.271,nan,index
C2_scale_full_half,scales,1,43,42,1,3,0.7976095701543086,0.04822639738882838,0.047024365456227665,65,921108,2.271,nan,index
C2_scale_full_half,scales,2,42,42,2,5,0.10646831559434716,0.058387898259369665,0.057968634004353745,65,921108,2.271,nan,index
C2_scale_full_half,scales,2,43,42,2,5,0.09574531962893607,0.058238032612425834,0.05784362409360076,65,921108,2.271,nan,index
C2_scale_full_half,scales,3,42,7,0,2,0.10174086271082665,0.023297821852148792,0.02211339124419317,65,921108,2.271,nan,index
C2_scale_full_half,scales,3,43,7,0,2,0.1406186383247155,0.02290261052383781,0.021686448019208066,65,921108,2.271,nan,index
C2_scale_full_half,scales,4,42,7,1,1,0.13226550247001642,0.010038702392891865,0.00993445801416257,65,921108,2.271,nan,index
C2_scale_full_half,scales,4,43,7,1,1,0.15287031423042577,0.010579521385551335,0.010233629582517815,65,921108,2.271,nan,index
C2_scale_full_half,scales,5,42,7,2,3,0.533556209167316,0.03913063553235972,0.038127650567454235,65,921108,2.271,nan,index
C2_scale_full_half,scales,5,43,7,2,3,0.5327381411752334,0.03900412850510006,0.03798743537599699,65,921108,2.271,nan,index
C2_scale_full_half,scales,6,42,2024,0,5,0.20816068222037667,0.07581775432046282,0.07933526442229936,65,921108,2.271,nan,index
C2_scale_full_half,scales,6,43,2024,0,5,0.20799061822104753,0.07495475585245376,0.0790706794174142,65,921108,2.271,nan,index
C2_scale_full_half,scales,7,42,2024,1,1,0.009577492593032456,0.029496187758820583,0.020477716267652647,65,921108,2.271,nan,index
C2_scale_full_half,scales,7,43,2024,1,1,0.009656590082254576,0.027650562475348195,0.020020116650930717,65,921108,2.271,nan,index
C2_scale_full_half,scales,8,42,2024,2,1,0.0005299417064122947,0.0011447586430665085,0.00021463840864263106,65,921108,2.271,nan,index
