model,fold,seed,condition,metric_name,value
xgboost,0,42,real_plus_sim,n_test_flagged,0.0
xgboost,1,42,real_plus_sim,pr_auc,0.012591241522500112
xgboost,1,42,real_plus_sim,event_recall,0.0
xgboost,1,42,real_plus_sim,far,0.04006002457931246
xgboost,1,42,real_plus_sim,lead_time,
xgboost,1,42,real_plus_sim,ece,0.06251047862925962
xgboost,1,42,real_plus_sim,threshold,0.24893440452189977
xgboost,1,42,real_plus_sim,n_test_events,5.0
xgboost,1,42,real_plus_sim,n_test_flagged,0.0
xgboost,2,42,real_plus_sim,pr_auc,0.153919838741959
xgboost,2,42,real_plus_sim,event_recall,0.5
xgboost,2,42,real_plus_sim,far,0.005492412587999385
xgboost,2,42,real_plus_sim,lead_time,12598.0
xgboost,2,42,real_plus_sim,ece,0.007183461570313956
xgboost,2,42,real_plus_sim,threshold,0.29940921095052464
xgboost,2,42,real_plus_sim,n_test_events,4.0
xgboost,2,42,real_plus_sim,n_test_flagged,2.0
