rank,feature,importance,importance_std,channel,stat,scale
74,T-JUS-CKP|std|scale0.5,-0.0035991548296543663,0.0005679691433316504,T-JUS-CKP,std,0.5
75,T-JUS-CKP|mean|scale1.0,-0.003955417545675055,0.0006209563816874716,T-JUS-CKP,mean,1.0
76,P-ANULAR|max|scale1.0,-0.004215068843443909,0.0004491689033737252,P-ANULAR,max,1.0
77,T-JUS-CKP|slope|scale1.0,-0.00440380186250261,0.0003930123126987671,T-JUS-CKP,slope,1.0
78,T-JUS-CKP|last_diff|scale0.5,-0.004551311105942452,0.00022583801585946084,T-JUS-CKP,last_diff,0.5
79,P-JUS-CKGL|mean|scale1.0,-0.005115568920911195,0.0008117780725535507,P-JUS-CKGL,mean,1.0
80,P-JUS-CKGL|std|scale0.5,-0.005174875344801511,0.0007295112468252495,P-JUS-CKGL,std,0.5
81,T-JUS-CKP|min|scale0.5,-0.005208477387391747,0.0003456632748489864,T-JUS-CKP,min,0.5
82,P-MON-CKP|max|scale1.0,-0.0053786143376968855,0.0013205268660353596,P-MON-CKP,max,1.0
83,T-TPT|slope|scale0.5,-0.0070694801454857905,0.0002583731076983226,T-TPT,slope,0.5
84,T-JUS-CKP|min|scale0.25,-0.007413818832729258,0.0006918892680438364,T-JUS-CKP,min,0.25
85,T-JUS-CKP|min|scale1.0,-0.0083387464594247,0.0006055527196379409,T-JUS-CKP,min,1.0
86,P-ANULAR|std|scale0.25,-0.009516327644091683,0.0002280172854079926,P-ANULAR,std,0.25
87,P-MON-CKP|std|scale0.25,-0.009780997816919618,0.0011641531820504166,P-MON-CKP,std,0.25
88,T-TPT|last_diff|scale0.25,-0.010607238628099935,0.0007291206652071176,T-TPT,last_diff,0.25
89,T-JUS-CKP|presence_frac,-0.012930344990916142,0.00043277475850298457,T-JUS-CKP,presence_frac,
90,P-ANULAR|std|scale0.5,-0.014280563558048288,0.0018280472898716015,P-ANULAR,std,0.5
91,P-ANULAR|std|scale1.0,-0.018267352875536262,0.0013712676271999424,P-ANULAR,std,1.0
92,P-ANULAR|slope|scale1.0,-0.024357811386924028,0.0020792791429628554,P-ANULAR,slope,1.0
93,T-JUS-CKP|std|scale1.0,-0.02516331351841245,0.003299474193646684,T-JUS-CKP,std,1.0
94,P-ANULAR|last_diff|scale1.0,-0.05166792707179126,0.00591648472494817,P-ANULAR,last_diff,1.0
95,P-ANULAR|mean|scale1.0,-0.16752775512668103,0.006787316989549031,P-ANULAR,mean,1.0
